Atividade, Total, Homem , Mulher, Ano
Total,  8 118 ,  9 148 ,  6 337,2018
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  5 988 ,  5 615 ,  9 172 ,2018
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  8 889 ,  9 460 ,  7 506 ,2018
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  5 674 ,  6 119 ,  4 316 ,2018
CONSTRUÇÃO,  9 445 ,  10 244 ,  6 056 ,2018
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 276 ,  6 943 ,  5 182 ,2018
"TRANSPORTE, ARMAZENAGEM E CORREIO",  7 947 ,  8 583 ,  5 292 ,2018
INFORMAÇÃO E COMUNICAÇÃO,  11 836 ,  12 689 ,  10 125 ,2018
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  11 204 ,  13 425 ,  7 881 ,2018
ATIVIDADES IMOBILIÁRIAS,  9 862 ,  13 177 ,  4 909 ,2018
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 620 ,  11 401 ,  7 527 ,2018
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 571 ,  6 886 ,  6 203 ,2018
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 810 ,  7 592 ,  5 541 ,2018
EDUCAÇÃO,  6 772 ,  9 066 ,  5 648 ,2018
 SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 650 ,  8 488 ,  5 369 ,2018
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 985 ,  7 406 ,  3 556 ,2018

